Station Name,Station Id,State Name,Elevation,Latitude,Longitude
Dome Lake,451,WYOMING,8880,44.57462,-107.29537
Donkey Reservoir,452,UTAH,9799,38.2084,-111.47412
Dorsey Basin,453,NEVADA,7903,40.89343,-115.21104
Draw Creek,454,NEVADA,7332,41.661,-115.3234
Dry Bread Pond,455,UTAH,8302,41.41289,-111.5377
Dry Fork,906,UTAH,7093,40.56533,-112.17343
Dry Lake,457,COLORADO,8400,40.53397,-106.7813
East Rim Divide,460,WYOMING,7930,43.13097,-110.2023
East Willow Creek,461,UTAH,8302,39.31213,-109.53179
Ebbetts Pass,462,CALIFORNIA,8661,38.5497,-119.80468
Echo Lake,936,COLORADO,10600,39.65627,-105.59345
Echo Peak,463,CALIFORNIA,7653,38.849,-120.0795
EF Blacks Fork GS,1163,UTAH,9360,40.88472,-110.54056
El Diente Peak,465,COLORADO,10000,37.78617,-108.02155
Elk Cabin,921,NEW MEXICO,8210,35.7043,-105.80675
Elk Peak,1106,MONTANA,7600,46.4845,-110.7125
Elk River,467,COLORADO,8700,40.84781,-106.96871
Elkhart Park G.S.,468,WYOMING,9400,43.00657,-109.75893
Elkhead Divide,1252,COLORADO,8780,40.79649,-107.10122
Elliot Ridge,1120,COLORADO,10520,39.864,-106.4246
Emigrant Summit,471,IDAHO,7390,42.36055,-111.56085
Evening Star,472,WYOMING,9200,44.65258,-109.78422
Farmington,474,UTAH,7902,40.97462,-111.80975
Farnsworth Lake,475,UTAH,9623,38.77246,-111.67662
Fawn Creek,476,NEVADA,7031,41.82098,-116.10153
Fish Creek,477,OREGON,7660,42.70992,-118.6321
Fish Lake Utah,1149,UTAH,8798,38.50455,-111.76693
Fisher Creek,480,MONTANA,9100,45.06235,-109.94488
Five Points Lake,481,UTAH,10943,40.71785,-110.46721
Fool Creek,1186,COLORADO,11150,39.8687,-105.8675
Forestdale Creek,1049,CALIFORNIA,8017,38.68245,-119.9597
Fort Valley,1121,ARIZONA,7350,35.26806,-111.74486
Franklin Basin,484,IDAHO,8140,42.0505,-111.6012
Fredonyer Peak,1277,CALIFORNIA,7208,40.68799,-120.60805
Fremont Pass,485,COLORADO,11400,39.37991,-106.19681
Frisco Divide,486,NEW MEXICO,8000,33.73646,-108.94502
Fry,488,ARIZONA,7200,35.07297,-111.84374
Galena,489,IDAHO,7470,43.87722,-114.6725
Galena Summit,490,IDAHO,8780,43.87497,-114.71363
Gallegos Peak,491,NEW MEXICO,9800,36.19446,-105.55795
Garden City Summit,1114,UTAH,7705,41.9215,-111.4693
Gardner Peak,1066,UTAH,8322,37.40083,-113.45988
Garita Peak,1173,NEW MEXICO,10160,36.005,-106.54838
GBRC HQ,1221,UTAH,8801,39.32019,-111.48827
GBRC Meadows,1222,UTAH,9858,39.30229,-111.45383
George Creek,1151,UTAH,8964,41.91562,-113.41154
Glen Cove,1057,COLORADO,11460,38.87583,-105.07367
Gooseberry RS,495,UTAH,7944,38.80034,-111.68333
Gooseberry RS Up,1184,UTAH,8396,38.7882,-111.68892
Grand Targhee,1082,WYOMING,9260,43.77933,-110.92783
Granite Peak,498,NEVADA,8503,41.67032,-117.56668
Grassy Lake,499,WYOMING,7265,44.12612,-110.83435
Grave Springs,501,WYOMING,8550,43.46643,-107.23977
Grayback,1058,COLORADO,11620,37.47033,-106.53783
Green Mountain,503,NEVADA,8185,40.3848,-115.52757
Grizzly Peak,505,COLORADO,11100,39.64631,-105.86973
Gros Ventre Summit,506,WYOMING,8750,43.38939,-110.12943
Gunsight Pass,944,WYOMING,9820,43.38332,-109.87815
Hagans Meadow,508,CALIFORNIA,7742,38.8519,-119.9374
Hams Fork,509,WYOMING,7840,42.146,-110.67833
Hannagan Meadows,511,ARIZONA,9020,33.65387,-109.30952
Hansen Sawmill,512,WYOMING,8360,44.25602,-106.97983
Happy Jack,969,ARIZONA,7630,34.74598,-111.41207
Hardscrabble,896,UTAH,7250,40.86833,-111.71865
Harris Flat,514,UTAH,7792,37.48997,-112.57602
Hawley Lake,1271,ARIZONA,8300,33.97142,-109.76528
Hayden Fork,517,UTAH,9130,40.79669,-110.88472
Hayden Pass,1102,COLORADO,10720,38.29326,-105.8505
Heavenly Valley,518,CALIFORNIA,8534,38.92431,-119.91641
Heber,519,ARIZONA,7640,34.31202,-110.75431
Hewinta,521,UTAH,9500,40.95009,-110.48419
Hickerson Park,522,UTAH,9122,40.90663,-109.96287
High Lonesome,1187,COLORADO,10620,40.03592,-105.75471
Hilts Creek,524,IDAHO,8000,44.01897,-113.4723
Hobble Creek,1223,UTAH,7377,40.18538,-111.35971
Hobbs Park,525,WYOMING,10100,42.86984,-109.09455
Hole-in-Mountain,527,NEVADA,8163,40.94168,-115.0954
Hole-in-Rock,528,UTAH,9168,40.92167,-110.18623
